net,length_um
net4,121.405µm
net35,98.39µm
net30,96.38µm
_058_,93.35µm
net5,93.285µm
net34,89.29µm
_057_,83.12µm
net6,81.965µm
net36,79.28µm
net43,77.835µm
_099_,77.1µm
_083_,74.885µm
_109_,72.91µm
net8,72.395µm
net41,60.015µm
_079_,56.71µm
_096_,55.36µm
net39,53.69µm
net37,51.695µm
_084_,49.11µm
net40,44.01µm
_087_,42.14µm
net33,41.695µm
net42,41.54µm
_085_,40.72µm
net1,38.94µm
_110_,38.52µm
net31,36.95µm
net32,34.925µm
_088_,34.465µm
net17,34.145µm
net9,33.76µm
net38,32.54µm
_078_,31.7µm
_093_,29.02µm
net19,27.11µm
net29,26.44µm
net18,25.36µm
_082_,24.85µm
net2,24.6µm
net7,23.02µm
_107_,22.9µm
net14,22.42µm
_061_,22.16µm
_030_,22.04µm
_063_,21.96µm
_098_,21.96µm
net24,21.62µm
_064_,21.4µm
_104_,20.87µm
net20,20.46µm
_097_,20.4µm
_076_,20.38µm
_055_,20.24µm
_068_,18.43µm
_095_,18.36µm
_075_,18.06µm
_113_,17.7µm
_060_,17.6µm
_074_,17.4µm
_051_,17.26µm
net22,17.16µm
_073_,16.6µm
net12,15.98µm
_072_,15.78µm
_112_,15.26µm
net23,14.86µm
net13,14.34µm
_119_,13.24µm
_009_,12.96µm
_001_,12.62µm
net11,12.46µm
_114_,12.18µm
_066_,12.12µm
res[1],11.51µm
op[0],11.46µm
_120_,11.42µm
_071_,11.4µm
_045_,11.32µm
_077_,11.26µm
net3,11.24µm
_069_,11.18µm
_019_,11.16µm
_090_,10.84µm
net10,10.7µm
op[1],10.54µm
_021_,10.48µm
_031_,10.44µm
net15,10.4µm
net16,10.36µm
res[3],10.32µm
op[2],10.2µm
net21,10.2µm
data2[2],10.08µm
data2[3],10.08µm
data2[4],10.08µm
_102_,9.935µm
_092_,9.88µm
res[2],9.86µm
_004_,9.22µm
_091_,9.22µm
_124_,8.9µm
data2[6],8.72µm
_026_,8.14µm
_041_,8.1µm
_105_,7.875µm
data1[0],7.69µm
_056_,7.6µm
_125_,7.52µm
data1[1],7.47µm
data1[2],7.47µm
_018_,7.06µm
res[6],6.91µm
_118_,6.835µm
_003_,6.76µm
_027_,6.64µm
_089_,6.4µm
_035_,6.36µm
data1[5],6.31µm
_023_,6.26µm
_039_,6.14µm
data2[0],6.09µm
_070_,6.06µm
_065_,5.84µm
_094_,5.82µm
res[0],5.75µm
res[5],5.75µm
_002_,5.72µm
data2[7],5.63µm
_101_,5.48µm
data1[7],5.41µm
z,5.41µm
_006_,5.34µm
_013_,5.34µm
data1[3],5.29µm
_123_,5.22µm
res[4],5.07µm
res[7],5.07µm
_037_,5µm
net26,4.9µm
_040_,4.8µm
_010_,4.76µm
_067_,4.76µm
_080_,4.76µm
_053_,4.68µm
data2[1],4.61µm
data2[5],4.61µm
_121_,4.46µm
_024_,4.34µm
_049_,4.2µm
_059_,4.165µm
_047_,4µm
data1[4],3.93µm
data1[6],3.93µm
_108_,3.88µm
_062_,3.76µm
_033_,3.68µm
_054_,3.68µm
_028_,3.54µm
_034_,3.54µm
_038_,3.42µm
_000_,3.08µm
_032_,3.08µm
_086_,3.08µm
_117_,3.08µm
_017_,2.96µm
_012_,2.76µm
_008_,2.64µm
_014_,2.64µm
_029_,2.62µm
_036_,2.62µm
_106_,2.62µm
_115_,2.62µm
_005_,2.5µm
_044_,2.5µm
_048_,2.5µm
net28,2.5µm
_011_,2.38µm
_081_,2.3µm
_020_,2.16µm
_042_,2.16µm
_046_,2.16µm
_050_,2.16µm
_015_,2.06µm
_022_,1.95µm
_052_,1.72µm
_007_,1.7µm
_016_,1.7µm
_122_,1.7µm
net25,1.7µm
_111_,1.6µm
_103_,1.38µm
_043_,1.14µm
_100_,1.14µm
_116_,0.92µm
_025_,0.8µm
net27,0.46µm
