net,length_um
net11,109.66µm
net7,97.56µm
net5,94.97µm
net10,89.72µm
net6,73.7µm
net4,69.16µm
net29,68.9µm
net33,62.905µm
_000_,60.41µm
net25,59.82µm
net9,59.1µm
net34,59µm
net30,56.92µm
net24,56.175µm
net8,55.105µm
net26,54.1µm
net3,53.33µm
net31,51.96µm
net28,49.3µm
net22,46.69µm
_002_,45.62µm
net20,45.23µm
net21,41.415µm
net32,31.96µm
net23,31.28µm
net27,29.78µm
net1,28.74µm
_005_,27.1µm
_029_,16.26µm
_008_,15.22µm
data[2],14.77µm
result[3],14.71µm
_001_,13.8µm
amt[1],13.11µm
net19,12.74µm
_037_,12.68µm
result[5],12.21µm
result[2],12.19µm
amt[2],12.07µm
net12,10.74µm
_049_,9.94µm
_044_,9.14µm
_017_,8.96µm
net17,8.92µm
data[0],8.84µm
result[1],8.5µm
_004_,8.1µm
_045_,7.94µm
_042_,7.18µm
net13,7.06µm
_035_,6.6µm
_018_,6.5µm
result[4],6.43µm
result[7],6.43µm
_034_,6.2µm
net18,6.18µm
_013_,6.14µm
_055_,6.14µm
data[5],5.87µm
_047_,5.8µm
net2,5.8µm
result[6],5.75µm
net15,5.68µm
data[1],5.41µm
data[4],5.41µm
data[7],5.41µm
_022_,5.4µm
net16,5.26µm
data[6],5.19µm
_033_,5.02µm
amt[0],4.95µm
_027_,4.92µm
_030_,4.92µm
data[3],4.85µm
result[0],4.85µm
_041_,4.54µm
_023_,4.46µm
_040_,4.46µm
_051_,4.46µm
_054_,4.46µm
net14,4.46µm
_043_,4.1µm
_010_,4µm
_048_,3.88µm
_003_,3.42µm
_006_,3.42µm
_019_,3.2µm
_026_,3.18µm
_007_,3.08µm
_038_,3.08µm
_009_,2.86µm
_032_,2.64µm
_011_,2.62µm
_014_,2.62µm
_025_,2.5µm
_036_,2.5µm
_024_,2.3µm
_016_,2.16µm
_021_,2.16µm
_053_,2.16µm
_015_,2.06µm
_020_,1.94µm
_031_,1.84µm
_039_,1.72µm
_012_,1.48µm
_052_,1.48µm
_050_,1.14µm
_028_,0.46µm
_046_,0.46µm
