Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_75,VGND,li1,40.7100,43.5200,0.000002
FILLER_12_72,VGND,li1,39.3300,43.5200,0.000002
FILLER_12_69,VGND,li1,37.9500,43.5200,0.000002
FILLER_12_66,VGND,li1,36.5700,43.5200,0.000002
FILLER_12_63,VGND,li1,35.1900,43.5200,0.000002
FILLER_12_60,VGND,li1,33.8100,43.5200,0.000002
FILLER_12_57,VGND,li1,32.4300,43.5200,0.000002
FILLER_12_53,VGND,li1,30.5900,43.5200,0.000002
FILLER_12_50,VGND,li1,29.2100,43.5200,0.000002
FILLER_12_47,VGND,li1,27.8300,43.5200,0.000002
FILLER_12_44,VGND,li1,26.4500,43.5200,0.000002
FILLER_12_41,VGND,li1,25.0700,43.5200,0.000002
FILLER_12_38,VGND,li1,23.6900,43.5200,0.000002
FILLER_12_35,VGND,li1,22.3100,43.5200,0.000002
FILLER_12_32,VGND,li1,20.9300,43.5200,0.000002
FILLER_12_29,VGND,li1,19.5500,43.5200,0.000002
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000002
FILLER_12_24,VGND,li1,17.2500,43.5200,0.000003
FILLER_12_21,VGND,li1,15.8700,43.5200,0.000003
FILLER_12_18,VGND,li1,14.4900,43.5200,0.000003
FILLER_12_15,VGND,li1,13.1100,43.5200,0.000003
FILLER_12_12,VGND,li1,11.7300,43.5200,0.000003
FILLER_12_9,VGND,li1,10.3500,43.5200,0.000003
FILLER_12_6,VGND,li1,8.9700,43.5200,0.000003
FILLER_11_75,VGND,li1,40.7100,43.5200,0.000002
FILLER_11_72,VGND,li1,39.3300,43.5200,0.000002
FILLER_11_69,VGND,li1,37.9500,43.5200,0.000002
FILLER_11_66,VGND,li1,36.5700,43.5200,0.000002
FILLER_11_63,VGND,li1,35.1900,43.5200,0.000002
FILLER_11_60,VGND,li1,33.8100,43.5200,0.000002
FILLER_11_57,VGND,li1,32.4300,43.5200,0.000002
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000002
FILLER_11_52,VGND,li1,30.1300,43.5200,0.000002
FILLER_11_25,VGND,li1,17.7100,43.5200,0.000002
FILLER_11_11,VGND,li1,10.8100,43.5200,0.000003
FILLER_11_7,VGND,li1,8.9700,43.5200,0.000003
FILLER_10_75,VGND,li1,40.7100,38.0800,0.000005
FILLER_10_57,VGND,li1,32.2000,38.0800,0.000005
FILLER_10_54,VGND,li1,31.0500,38.0800,0.000005
FILLER_10_51,VGND,li1,29.6700,38.0800,0.000005
FILLER_10_44,VGND,li1,26.4500,38.0800,0.000004
FILLER_10_41,VGND,li1,25.0700,38.0800,0.000004
FILLER_10_26,VGND,li1,17.9400,38.0800,0.000005
FILLER_10_15,VGND,li1,12.6500,38.0800,0.000005
FILLER_9_77,VGND,li1,41.1700,38.0800,0.000005
FILLER_9_54,VGND,li1,30.8200,38.0800,0.000005
FILLER_9_47,VGND,li1,27.8300,38.0800,0.000004
FILLER_9_44,VGND,li1,26.4500,38.0800,0.000004
FILLER_9_41,VGND,li1,25.0700,38.0800,0.000004
FILLER_9_38,VGND,li1,23.6900,38.0800,0.000004
FILLER_9_29,VGND,li1,19.0900,38.0800,0.000004
FILLER_9_26,VGND,li1,18.1700,38.0800,0.000005
FILLER_9_23,VGND,li1,16.7900,38.0800,0.000005
FILLER_9_3,VGND,li1,7.3600,38.0800,0.000005
FILLER_8_76,VGND,li1,40.9400,32.6400,0.000005
FILLER_8_64,VGND,li1,35.4200,32.6400,0.000004
FILLER_8_48,VGND,li1,28.0600,32.6400,0.000004
FILLER_8_40,VGND,li1,24.6100,32.6400,0.000004
FILLER_8_37,VGND,li1,23.2300,32.6400,0.000004
FILLER_8_29,VGND,li1,19.0900,32.6400,0.000005
FILLER_8_25,VGND,li1,17.7100,32.6400,0.000005
FILLER_8_22,VGND,li1,16.3300,32.6400,0.000005
FILLER_8_19,VGND,li1,14.9500,32.6400,0.000006
FILLER_8_16,VGND,li1,13.5700,32.6400,0.000006
FILLER_8_13,VGND,li1,12.1900,32.6400,0.000006
FILLER_8_10,VGND,li1,10.8100,32.6400,0.000006
FILLER_7_72,VGND,li1,39.1000,32.6400,0.000005
FILLER_7_69,VGND,li1,37.9500,32.6400,0.000004
FILLER_7_66,VGND,li1,36.5700,32.6400,0.000004
FILLER_7_63,VGND,li1,35.1900,32.6400,0.000004
FILLER_7_60,VGND,li1,33.8100,32.6400,0.000004
FILLER_7_57,VGND,li1,32.4300,32.6400,0.000004
FILLER_7_39,VGND,li1,23.9200,32.6400,0.000004
FILLER_6_52,VGND,li1,30.1300,27.2000,0.000004
FILLER_6_49,VGND,li1,28.7500,27.2000,0.000004
FILLER_6_46,VGND,li1,27.3700,27.2000,0.000004
FILLER_6_39,VGND,li1,24.1500,27.2000,0.000004
FILLER_6_36,VGND,li1,22.7700,27.2000,0.000004
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000006
FILLER_6_23,VGND,li1,16.7900,27.2000,0.000006
FILLER_6_13,VGND,li1,11.7300,27.2000,0.000007
FILLER_6_7,VGND,li1,8.9700,27.2000,0.000007
FILLER_5_72,VGND,li1,39.1000,27.2000,0.000005
FILLER_5_60,VGND,li1,33.8100,27.2000,0.000005
FILLER_5_57,VGND,li1,32.4300,27.2000,0.000004
FILLER_5_54,VGND,li1,30.8200,27.2000,0.000004
FILLER_5_51,VGND,li1,29.6700,27.2000,0.000004
FILLER_5_38,VGND,li1,23.6900,27.2000,0.000004
FILLER_5_35,VGND,li1,22.3100,27.2000,0.000004
FILLER_5_32,VGND,li1,20.9300,27.2000,0.000005
FILLER_5_24,VGND,li1,16.7900,27.2000,0.000006
FILLER_5_21,VGND,li1,15.8700,27.2000,0.000006
FILLER_5_18,VGND,li1,14.4900,27.2000,0.000006
FILLER_5_3,VGND,li1,7.1300,27.2000,0.000007
FILLER_4_73,VGND,li1,39.3300,21.7600,0.000008
FILLER_4_60,VGND,li1,33.3500,21.7600,0.000007
FILLER_4_35,VGND,li1,21.8500,21.7600,0.000004
FILLER_4_32,VGND,li1,20.9300,21.7600,0.000005
FILLER_4_29,VGND,li1,19.5500,21.7600,0.000005
FILLER_4_18,VGND,li1,14.2600,21.7600,0.000005
FILLER_4_7,VGND,li1,8.9700,21.7600,0.000005
FILLER_3_76,VGND,li1,40.9400,21.7600,0.000008
FILLER_3_60,VGND,li1,33.8100,21.7600,0.000007
FILLER_3_57,VGND,li1,32.4300,21.7600,0.000007
FILLER_3_38,VGND,li1,23.6900,21.7600,0.000004
FILLER_3_35,VGND,li1,22.3100,21.7600,0.000004
FILLER_3_26,VGND,li1,17.7100,21.7600,0.000005
FILLER_3_23,VGND,li1,16.7900,21.7600,0.000005
FILLER_3_20,VGND,li1,15.4100,21.7600,0.000005
FILLER_3_11,VGND,li1,11.0400,21.7600,0.000005
FILLER_2_44,VGND,li1,26.2200,16.3200,0.000005
FILLER_1_75,VGND,li1,40.7100,16.3200,0.000006
FILLER_1_54,VGND,li1,30.8200,16.3200,0.000006
FILLER_1_39,VGND,li1,23.9200,16.3200,0.000005
FILLER_1_3,VGND,li1,7.1300,16.3200,0.000008
FILLER_0_77,VGND,li1,41.1700,10.8800,0.000004
FILLER_0_74,VGND,li1,40.2500,10.8800,0.000004
FILLER_0_71,VGND,li1,38.8700,10.8800,0.000004
FILLER_0_63,VGND,li1,34.9600,10.8800,0.000004
FILLER_0_60,VGND,li1,33.8100,10.8800,0.000004
FILLER_0_57,VGND,li1,32.4300,10.8800,0.000004
FILLER_0_35,VGND,li1,21.8500,10.8800,0.000004
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000005
FILLER_0_23,VGND,li1,16.3300,10.8800,0.000005
FILLER_0_3,VGND,li1,7.3600,10.8800,0.000005
fanout34,VGND,li1,28.5200,43.5200,0.000002
fanout33,VGND,li1,25.7600,27.2000,0.000004
fanout32,VGND,li1,9.8900,43.5200,0.000003
fanout31,VGND,li1,8.7400,38.0800,0.000005
fanout30,VGND,li1,17.7100,16.3200,0.000007
fanout29,VGND,li1,28.5200,10.8800,0.000004
fanout28,VGND,li1,23.0000,10.8800,0.000004
fanout27,VGND,li1,16.3300,43.5200,0.000003
fanout26,VGND,li1,16.1000,16.3200,0.000007
fanout25,VGND,li1,29.4400,16.3200,0.000005
fanout24,VGND,li1,30.3600,10.8800,0.000004
fanout23,VGND,li1,19.5500,38.0800,0.000004
fanout22,VGND,li1,14.2600,16.3200,0.000007
max_cap21,VGND,li1,29.4400,38.0800,0.000005
max_cap20,VGND,li1,39.5600,21.7600,0.000008
output19,VGND,li1,7.8200,32.6400,0.000007
output18,VGND,li1,7.8200,27.2000,0.000007
output17,VGND,li1,15.1800,27.2000,0.000006
output16,VGND,li1,7.8200,16.3200,0.000008
output15,VGND,li1,32.6600,38.0800,0.000005
output14,VGND,li1,34.5000,21.7600,0.000007
output13,VGND,li1,20.7000,10.8800,0.000005
output12,VGND,li1,40.4800,21.7600,0.000008
input11,VGND,li1,7.8200,38.0800,0.000005
input10,VGND,li1,40.4800,32.6400,0.000005
input9,VGND,li1,40.4800,27.2000,0.000005
input8,VGND,li1,7.8200,21.7600,0.000006
input7,VGND,li1,40.4800,16.3200,0.000006
input6,VGND,li1,12.4200,10.8800,0.000005
input5,VGND,li1,7.8200,43.5200,0.000003
input4,VGND,li1,17.4800,10.8800,0.000005
input3,VGND,li1,14.0300,10.8800,0.000005
input2,VGND,li1,15.4100,10.8800,0.000005
input1,VGND,li1,7.5900,43.5200,0.000003
TAP_TAPCELL_ROW_12_40,VGND,li1,31.5100,43.8110,0.000002
TAP_TAPCELL_ROW_12_39,VGND,li1,18.6300,43.8110,0.000002
TAP_TAPCELL_ROW_11_38,VGND,li1,31.5100,43.2280,0.000002
TAP_TAPCELL_ROW_10_37,VGND,li1,18.6300,38.3710,0.000004
TAP_TAPCELL_ROW_9_36,VGND,li1,31.5100,37.7880,0.000005
TAP_TAPCELL_ROW_8_35,VGND,li1,18.6300,32.9310,0.000005
TAP_TAPCELL_ROW_7_34,VGND,li1,31.5100,32.3480,0.000004
TAP_TAPCELL_ROW_6_33,VGND,li1,18.6300,27.4910,0.000005
TAP_TAPCELL_ROW_5_32,VGND,li1,31.5100,26.9080,0.000004
TAP_TAPCELL_ROW_4_31,VGND,li1,18.6300,22.0510,0.000005
TAP_TAPCELL_ROW_3_30,VGND,li1,31.5100,21.4680,0.000007
TAP_TAPCELL_ROW_2_29,VGND,li1,18.6300,16.6110,0.000006
TAP_TAPCELL_ROW_1_28,VGND,li1,31.5100,16.0280,0.000006
TAP_TAPCELL_ROW_0_27,VGND,li1,31.5100,11.1710,0.000004
TAP_TAPCELL_ROW_0_26,VGND,li1,18.6300,11.1710,0.000005
PHY_EDGE_ROW_12_Left_25,VGND,li1,6.2100,43.5200,0.000003
PHY_EDGE_ROW_11_Left_24,VGND,li1,6.2100,43.5200,0.000003
PHY_EDGE_ROW_10_Left_23,VGND,li1,6.2100,38.0800,0.000005
PHY_EDGE_ROW_9_Left_22,VGND,li1,6.2100,38.0800,0.000005
PHY_EDGE_ROW_8_Left_21,VGND,li1,6.2100,32.6400,0.000007
PHY_EDGE_ROW_7_Left_20,VGND,li1,6.2100,32.6400,0.000007
PHY_EDGE_ROW_6_Left_19,VGND,li1,6.2100,27.2000,0.000007
PHY_EDGE_ROW_5_Left_18,VGND,li1,6.2100,27.2000,0.000007
PHY_EDGE_ROW_4_Left_17,VGND,li1,6.2100,21.7600,0.000006
PHY_EDGE_ROW_3_Left_16,VGND,li1,6.2100,21.7600,0.000006
PHY_EDGE_ROW_2_Left_15,VGND,li1,6.2100,16.3200,0.000008
PHY_EDGE_ROW_1_Left_14,VGND,li1,6.2100,16.3200,0.000008
PHY_EDGE_ROW_0_Left_13,VGND,li1,6.2100,10.8800,0.000005
PHY_EDGE_ROW_12_Right_12,VGND,li1,42.0900,43.5200,0.000002
PHY_EDGE_ROW_11_Right_11,VGND,li1,42.0900,43.5200,0.000002
PHY_EDGE_ROW_10_Right_10,VGND,li1,42.0900,38.0800,0.000005
PHY_EDGE_ROW_9_Right_9,VGND,li1,42.0900,38.0800,0.000005
PHY_EDGE_ROW_8_Right_8,VGND,li1,42.0900,32.6400,0.000005
PHY_EDGE_ROW_7_Right_7,VGND,li1,42.0900,32.6400,0.000005
PHY_EDGE_ROW_6_Right_6,VGND,li1,42.0900,27.2000,0.000005
PHY_EDGE_ROW_5_Right_5,VGND,li1,42.0900,27.2000,0.000005
PHY_EDGE_ROW_4_Right_4,VGND,li1,42.0900,21.7600,0.000008
PHY_EDGE_ROW_3_Right_3,VGND,li1,42.0900,21.7600,0.000008
PHY_EDGE_ROW_2_Right_2,VGND,li1,42.0900,16.3200,0.000006
PHY_EDGE_ROW_1_Right_1,VGND,li1,42.0900,16.3200,0.000006
PHY_EDGE_ROW_0_Right_0,VGND,li1,42.0900,10.8800,0.000004
_119_,VGND,li1,20.9300,32.6400,0.000005
_118_,VGND,li1,22.3100,38.0800,0.000004
_117_,VGND,li1,20.7000,43.5200,0.000002
_116_,VGND,li1,21.1600,38.0800,0.000004
_115_,VGND,li1,25.3000,43.5200,0.000002
_114_,VGND,li1,21.6200,32.6400,0.000005
