net,length_um
_023_,52µm
_013_,39.76µm
_029_,37.47µm
_034_,36.795µm
_033_,31.5µm
_016_,30.34µm
pcInput[4],30.1µm
pcInput[23],29.05µm
net29,28.14µm
pcInput[5],27.5µm
pcInput[29],25.84µm
net17,25.4µm
net61,25.4µm
pcInput[26],24.93µm
res[7],24.82µm
_038_,22.54µm
res[26],22.4µm
pcInput[3],22.25µm
res[12],22.17µm
net62,22.16µm
net20,21.88µm
pcInput[24],21.29µm
pcInput[0],21.05µm
res[22],20.9µm
net13,20.88µm
net21,20.56µm
pcInput[14],19.59µm
net27,19.44µm
pcInput[25],19.33µm
res[3],19.15µm
pcInput[27],18.94µm
pcInput[31],18.94µm
res[21],18.67µm
res[25],18.64µm
_017_,18.14µm
pcInput[8],17.68µm
net7,17.68µm
net14,17.595µm
pcInput[15],17.57µm
net30,17.18µm
net24,17.07µm
net9,16.98µm
net16,16.92µm
net28,16.92µm
net32,16.72µm
net43,16.7µm
net2,16.52µm
_020_,16.26µm
res[0],16.21µm
net1,15.9µm
pcInput[16],15.39µm
pcInput[18],15.15µm
net10,14.94µm
res[1],14.24µm
pcInput[10],14.16µm
_014_,14.14µm
res[17],13.57µm
net59,13.56µm
net34,13.52µm
net5,13.5µm
res[4],13.1µm
net12,13.1µm
_006_,12.82µm
pcInput[7],12.7µm
net39,12.68µm
pcInput[1],12.5µm
pcInput[11],12.4µm
net45,11.96µm
net15,11.82µm
res[23],11.7µm
net25,11.64µm
pcInput[28],11.47µm
res[6],10.76µm
pcInput[17],10.45µm
net6,9.94µm
res[20],9.83µm
pcInput[30],9.74µm
pcInput[6],9.64µm
pcInput[9],9.64µm
res[27],9.64µm
res[28],9.64µm
res[29],9.64µm
res[30],9.64µm
res[31],9.64µm
res[8],9.64µm
pcInput[22],9.19µm
res[9],9.18µm
res[24],8.96µm
net54,8.82µm
_027_,8.78µm
res[5],8.5µm
_010_,8.4µm
pcInput[21],8.35µm
res[16],8.27µm
net50,7.86µm
net18,7.42µm
_018_,7.4µm
res[2],7.11µm
pcInput[13],6.99µm
net4,6.98µm
_015_,6.86µm
net33,6.76µm
net46,6.6µm
net3,6.52µm
net19,6.48µm
_007_,6.38µm
net55,6.28µm
net44,6.26µm
res[11],6.23µm
res[14],6.21µm
_036_,6.18µm
_009_,6.12µm
pcInput[12],5.97µm
_025_,5.9µm
net11,5.9µm
_028_,5.82µm
net41,5.8µm
net40,5.72µm
res[15],5.53µm
_037_,5.48µm
net26,5.48µm
net22,5.38µm
pcInput[2],5.29µm
_011_,5.22µm
net57,5.22µm
_012_,5.14µm
res[13],5.07µm
res[10],4.73µm
_004_,4.46µm
net49,4.42µm
res[18],4.39µm
res[19],4.39µm
pcInput[19],4.27µm
pcInput[20],4.27µm
_021_,4.1µm
_000_,3.88µm
net8,3.76µm
_001_,3.42µm
_008_,3.2µm
net56,3.18µm
net53,3.1µm
_035_,3.06µm
_024_,2.96µm
_026_,2.96µm
_032_,2.84µm
_003_,2.655µm
_005_,2.62µm
net51,2.62µm
net52,2.62µm
net42,2.52µm
_022_,2.5µm
net31,2.5µm
net47,2.5µm
net60,2.5µm
_019_,2.48µm
net23,2.16µm
net36,2.04µm
net37,2.04µm
net58,2.04µm
_002_,1.84µm
net35,1.26µm
net38,1.26µm
net48,1.26µm
_030_,1.14µm
_031_,0.825µm
