Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_70,VGND,li1,37.9500,43.5200,0.000008
FILLER_12_57,VGND,li1,32.2000,43.5200,0.000007
FILLER_12_29,VGND,li1,19.3200,43.5200,0.000007
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000007
FILLER_11_44,VGND,li1,26.4500,43.5200,0.000006
FILLER_11_16,VGND,li1,13.3400,43.5200,0.000008
FILLER_11_9,VGND,li1,10.1200,43.5200,0.000008
FILLER_10_62,VGND,li1,34.5000,38.0800,0.000003
FILLER_10_52,VGND,li1,29.9000,38.0800,0.000003
FILLER_10_49,VGND,li1,28.7500,38.0800,0.000003
FILLER_10_46,VGND,li1,27.3700,38.0800,0.000003
FILLER_10_43,VGND,li1,25.9900,38.0800,0.000003
FILLER_10_32,VGND,li1,20.4700,38.0800,0.000003
FILLER_10_29,VGND,li1,19.5500,38.0800,0.000003
FILLER_10_25,VGND,li1,17.7100,38.0800,0.000004
FILLER_10_22,VGND,li1,16.3300,38.0800,0.000004
FILLER_9_70,VGND,li1,37.9500,38.0800,0.000004
FILLER_9_57,VGND,li1,31.9700,38.0800,0.000003
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000003
FILLER_9_50,VGND,li1,29.2100,38.0800,0.000003
FILLER_9_47,VGND,li1,27.8300,38.0800,0.000003
FILLER_9_44,VGND,li1,26.4500,38.0800,0.000003
FILLER_9_41,VGND,li1,25.0700,38.0800,0.000003
FILLER_9_38,VGND,li1,23.6900,38.0800,0.000003
FILLER_9_35,VGND,li1,22.3100,38.0800,0.000003
FILLER_9_32,VGND,li1,20.9300,38.0800,0.000003
FILLER_9_29,VGND,li1,19.5500,38.0800,0.000003
FILLER_9_26,VGND,li1,18.1700,38.0800,0.000004
FILLER_9_23,VGND,li1,16.7900,38.0800,0.000004
FILLER_9_20,VGND,li1,15.4100,38.0800,0.000004
FILLER_8_70,VGND,li1,38.1800,32.6400,0.000001
FILLER_8_50,VGND,li1,29.2100,32.6400,0.000001
FILLER_8_47,VGND,li1,27.8300,32.6400,0.000001
FILLER_8_44,VGND,li1,26.4500,32.6400,0.000001
FILLER_8_41,VGND,li1,25.0700,32.6400,0.000001
FILLER_8_38,VGND,li1,23.6900,32.6400,0.000001
FILLER_8_35,VGND,li1,22.3100,32.6400,0.000001
